StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.0228,0.7624,0.3914,0.1755,1.0693,0.4174,0,1
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,-0.0237,0.9399,0.4061,0.1242,1.1699,0.4181,0,1
2,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.0082,0.8962,0.4171,-0.0148,0.8815,0.3871,0,1
3,1.0000,0.9216,0.0157,1,1.0000,0.0200,-0.1028,0.8505,0.3842,-0.2386,0.8845,0.3971,0,1
4,1.0000,0.9216,0.0157,2,1.0000,0.0200,-0.2347,1.0264,0.4316,-0.1561,0.8771,0.4012,0,1
5,0.0000,1.0000,0.0000,1,1.0000,0.0200,-0.1201,0.8671,0.4112,0.0303,0.6883,0.3303,0,1
6,0.0000,1.0000,0.0000,2,1.0000,0.0200,-0.0927,0.8614,0.4335,0.0116,0.6791,0.3514,0,1
7,1.0000,0.0000,0.0000,1,1.0000,0.0200,0.1234,0.7415,0.3402,0.0402,0.5847,0.2299,0,1
8,1.0000,0.0000,0.0000,2,1.0000,0.0200,-0.3663,1.0962,0.2163,-0.3851,1.0599,0.2079,0,1
9,1.0000,0.0000,0.0000,3,1.0000,0.0200,-0.3774,1.0912,0.2256,-0.3738,1.0850,0.2236,0,1
10,1.0000,0.0000,0.0000,4,1.0000,0.0200,-0.3500,1.0794,0.2175,-0.3576,1.0531,0.2272,0,1
