StrokeIndex,ColorR,ColorG,ColorB,Count,ColorA,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z,TotalUndoCount,SelectedSceneID
0,0.0000,0.0000,1.0000,1,1.0000,0.0200,0.2439,0.9660,0.1598,-0.0653,0.9518,0.1810,0,2
1,0.0000,0.0000,1.0000,2,1.0000,0.0200,-0.0928,1.0569,0.1740,0.5021,1.1475,-0.0600,0,2
2,0.0000,1.0000,1.0000,1,1.0000,0.0200,0.1847,0.9176,0.1224,-0.0149,0.9446,0.0643,0,2
3,0.0000,1.0000,1.0000,2,1.0000,0.0200,-0.0079,1.0342,0.0760,-0.1968,0.8824,0.1023,0,2
4,0.0000,1.0000,1.0000,3,1.0000,0.0010,-0.3105,1.0831,0.1956,-0.1195,1.1558,0.2157,0,2
5,0.0000,1.0000,1.0000,4,1.0000,0.0010,-0.1627,0.9975,0.1871,-0.1105,1.0000,0.1962,0,2
6,0.0000,1.0000,1.0000,5,1.0000,0.0500,-0.0543,1.0812,0.2211,-0.1280,0.8611,0.2062,0,2
7,0.0000,1.0000,1.0000,1,0.0977,0.0500,-0.1476,1.0042,0.2419,-0.2326,0.9404,0.1966,0,2
8,0.0000,1.0000,1.0000,2,0.0977,0.0500,-0.2839,0.8806,0.1594,-0.1748,0.9077,0.2096,0,2
9,0.0000,1.0000,1.0000,3,0.0977,0.0500,-0.0939,0.9605,0.2465,0.3018,0.9300,0.0340,0,2
10,0.0000,1.0000,0.0000,1,0.0977,0.0500,0.0642,0.8326,0.0851,-0.3225,1.1341,0.2004,0,2
11,0.0000,1.0000,0.0000,2,0.0977,0.0500,-0.2993,1.1474,0.2434,-0.2718,1.0629,0.2503,0,2
12,0.0000,1.0000,0.0000,3,0.0977,0.0500,-0.2930,1.0072,0.2314,-0.2930,1.0072,0.2314,0,2
13,0.0000,1.0000,0.0000,4,0.0977,0.0500,-0.2011,0.9796,0.2566,-0.3085,0.8869,0.1929,0,2
14,0.0000,1.0000,0.0000,5,0.0977,0.0037,-0.3757,0.8518,0.1355,-0.3000,0.9235,0.2050,0,2
15,0.0000,1.0000,0.0000,6,0.0977,0.0037,-0.2088,0.9908,0.2613,-0.1806,0.9650,0.2397,0,2
16,0.0000,1.0000,0.0000,7,0.0977,0.0037,-0.2631,0.8839,0.1848,-0.0316,0.7915,0.1334,0,2
17,0.0000,1.0000,0.0000,1,0.8392,0.0037,-0.2873,0.8271,0.1157,-0.1527,0.8980,0.1629,0,2
18,0.0000,1.0000,0.0000,2,0.8392,0.0037,-0.2935,0.9054,0.1597,-0.3853,0.9726,0.1984,0,2
19,0.0000,1.0000,0.0000,3,0.8392,0.0037,-0.3494,1.0680,0.2775,0.0908,1.1221,0.1543,0,2
20,0.0000,1.0000,0.0000,4,0.8392,0.0037,-0.1468,1.1451,0.2589,-0.2837,1.0471,0.2525,0,2
21,0.0000,1.0000,0.0000,5,0.8392,0.0037,-0.2250,1.0518,0.2681,-0.2113,1.0083,0.2606,0,2
22,0.0000,1.0000,0.0000,6,0.8392,0.0037,-0.2943,0.9403,0.1990,-0.2523,0.9337,0.2049,0,2
23,0.0000,1.0000,0.0000,7,0.8392,0.0037,-0.3451,0.8379,0.1600,-0.3067,0.8889,0.1936,0,2
24,0.0000,1.0000,0.0000,8,0.8392,0.0037,-0.2394,0.9175,0.2472,-0.2062,0.9123,0.2469,0,2
25,0.0000,1.0000,0.0000,9,0.8392,0.0037,-0.2660,0.8718,0.2072,-0.1430,0.7348,0.1180,0,2
26,1.0000,0.0000,0.0000,1,0.8392,0.0037,-0.2519,0.7165,0.0387,0.2923,0.8370,-0.0541,0,2
27,1.0000,0.9216,0.0157,1,0.8392,0.0037,0.2118,0.8030,-0.0527,-0.1675,0.9379,0.2593,0,2
28,1.0000,0.9216,0.0157,2,0.8392,0.0037,-0.2417,0.8936,0.2108,-0.2543,0.9665,0.2589,0,2
29,1.0000,0.9216,0.0157,3,0.8392,0.0037,-0.2298,1.0085,0.2928,-0.2106,1.0276,0.3018,0,2
30,1.0000,0.9216,0.0157,4,0.8392,0.0037,-0.3262,0.9401,0.2144,-0.3407,0.9739,0.2057,0,2
31,1.0000,0.9216,0.0157,5,0.8392,0.0037,-0.3018,1.0728,0.2750,-0.3336,1.0616,0.2531,0,2
32,1.0000,0.9216,0.0157,6,0.8392,0.0037,-0.3304,1.0811,0.2386,-0.2968,1.1016,0.2398,0,2
33,1.0000,0.9216,0.0157,7,0.8392,0.0037,-0.2309,1.1339,0.2537,0.0160,0.8440,0.1482,0,2
34,1.0000,0.9216,0.0157,8,0.8392,0.0037,-0.1886,0.7407,0.0735,-0.0703,0.8389,0.2252,0,2
35,0.0000,0.0000,1.0000,1,0.8392,0.0037,-0.1636,0.7067,0.0320,0.1535,0.8076,0.0923,0,2
36,0.0000,0.0000,1.0000,1,0.1626,0.0459,-0.1574,1.1236,0.2288,-0.2424,0.8368,0.1363,0,2
