StrokeIndex,ColorR,ColorG,ColorB,ColorA,Brightness,BrushSize,Start_X,Start_Y,Start_Z,End_X,End_Y,End_Z
0,1.0000,0.0000,0.0000,0.3686,0.3686,0.0200,0.0704,0.7851,0.3561,0.0704,0.7851,0.3561
1,1.0000,0.0000,0.0000,0.3686,0.3686,0.0200,0.0704,0.7851,0.3561,0.0467,0.7498,0.2866
2,1.0000,0.0000,0.0000,0.3686,0.3686,0.0200,0.0358,0.7707,0.2835,0.0497,0.7483,0.2851
3,1.0000,0.0000,0.0000,0.3686,0.3686,0.0200,-0.0320,1.1606,0.5548,0.0315,0.8294,0.3322
4,1.0000,0.8977,0.0000,1.0000,1.0000,0.0200,0.1320,1.1717,0.5570,0.1130,0.7864,0.3417
5,1.0000,0.8977,0.0000,1.0000,1.0000,0.0200,-0.1619,0.9858,0.3441,-0.1618,0.9746,0.3437
6,0.0000,0.0000,0.0000,1.0000,1.0000,0.0200,-0.1164,0.9473,0.3569,-0.1345,0.8832,0.3173
7,1.0000,0.0000,0.0000,0.1098,0.1098,0.0200,-0.1089,0.9099,0.3561,-0.0859,0.8587,0.3456
8,1.0000,0.0000,0.0000,0.1098,0.1098,0.0200,-0.0898,1.1545,0.6371,0.1088,0.8202,0.3635

--- Color Usage Statistics ---
UsedColor(RGBA),HexColor,Count
(255,0,0,94),#FF00005E,4
(255,229,0,255),#FFE500FF,2
(0,0,0,255),#000000FF,1
(255,0,0,28),#FF00001C,2
